127.0.0.1 - - [27/Apr/2020:15:19:57 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:19:58 +0900] "GET /bigdataShop/WEB-INF/board/read.jsp HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:20:11 +0900] "GET /bigdataShop/index.do HTTP/1.1" 200 8282
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:20:11 +0900] "GET /bigdataShop/images/product/dress_images1.jpg HTTP/1.1" 200 33412
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:20:11 +0900] "GET /bigdataShop/images/product/dress_images4.jpg HTTP/1.1" 200 52871
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:20:11 +0900] "GET /bigdataShop/images/product/dress_images3.jpg HTTP/1.1" 200 86664
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:20:11 +0900] "GET /bigdataShop/images/product/acc_image5.jpg HTTP/1.1" 200 21826
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:20:11 +0900] "GET /bigdataShop/images/product/acc_image3.jpg HTTP/1.1" 200 58057
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:20:11 +0900] "GET /bigdataShop/images/product/outer_image6.gif HTTP/1.1" 200 374236
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:20:11 +0900] "GET /bigdataShop/images/product/dress_image7.jpg HTTP/1.1" 200 110503
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:20:11 +0900] "GET /bigdataShop/images/product/top_image7.gif HTTP/1.1" 200 5867257
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:20:20 +0900] "GET /bigdataShop/index.do HTTP/1.1" 200 8282
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:20:20 +0900] "GET /bigdataShop/images/product/dress_images1.jpg HTTP/1.1" 200 33412
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:20:20 +0900] "GET /bigdataShop/images/product/dress_images4.jpg HTTP/1.1" 200 52871
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:20:20 +0900] "GET /bigdataShop/images/product/dress_images3.jpg HTTP/1.1" 200 86664
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:20:20 +0900] "GET /bigdataShop/images/product/acc_image3.jpg HTTP/1.1" 200 58057
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:20:20 +0900] "GET /bigdataShop/images/product/acc_image5.jpg HTTP/1.1" 200 21826
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:20:20 +0900] "GET /bigdataShop/images/product/top_image7.gif HTTP/1.1" 200 5867257
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:20:20 +0900] "GET /bigdataShop/images/product/outer_image6.gif HTTP/1.1" 200 374236
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:20:20 +0900] "GET /bigdataShop/images/product/dress_image7.jpg HTTP/1.1" 200 110503
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:20:20 +0900] "GET /favicon.ico HTTP/1.1" 404 761
